"Team","Division","Rating","Playoff","WSWin"
"Dodgers","NL West","1597","97","25"
"Padres","NL West","1568","89","11"
"Yankees","AL East","1563","77","11"
"Astros","AL West","1558","82","11"
"Rays","AL East","1544","69","6"
"Mets","NL East","1536","60","5"
"White Sox","AL Central","1534","74","6"
"Blue Jays","AL East","1530","44","3"
"Braves","NL East","1524","31","2"
"Red Sox","AL East","1520","38","2"
"Athletics","AL West","1516","50","3"
"Indians","AL Central","1512","41","2"
"Nationals","NL East","1512","22","1"
"Twins","AL Central","1512","9","0.5"
"Cubs","NL Central","1510","38","2"
"Cardinals","NL Central","1508","51","3"
"Brewers","NL Central","1507","32","2"
"Giants","NL West","1506","40","1"
"Phillies","NL East","1500","18","0.5"
"Angels","AL West","1493","7","0.5"
"Reds","NL Central","1491","14","0.5"
"Diamondbacks","NL West","1477","2","0.5"
"Marlins","NL East","1475","5","0.5"
"Royals","AL Central","1467","4","0.5"
"Mariners","AL West","1466","3","0.5"
"Rangers","AL West","1462","2","0.5"
"Tigers","AL Central","1445","0.5","0.5"
"Rockies","NL West","1445","0.5","0.5"
"Orioles","AL East","1436","0.5","0.5"
"Pirates","NL Central","1433","0.5","0.5"
